Question,Answer
"On Sept. 2, 1864 this general sent a wire saying, ""Atlanta is ours, and fairly won""",Sherman
"""You Stand Watching"" this ""Shine On"" singer",Ryan Cabrera
"Previously attached to Theo- & Isa-, it became popular by itself after appearing in ""David Copperfield""",Dora
:-b.. Doing this means either you're hungry or you're a pig,drooling
The first 50-star U.S. flag was officially raised on July 4 of this year,1960
"Number of lines in Shakespeare's poem that starts ""Shall I compare thee to a summer's day?""",14
"Ljubljana, Bratislava, Barcelona",Barcelona
"Mike Eruzione of Winthrop, Mass. was captain of the miraculous 1980 Olympic team in this sport",hockey
"At sea level at 70 degrees this travels 1,129 feet per second; it speeds up over 1 foot per sec. for each rising degree",sound
"""I beheld the wretch--the miserable monster whom I had created""",Mary Shelley
"Found ""just what I needed"" at this ""City"", an electronics store",Circuit City
The name of this color comes from the Greek word porphyra,purple
"Istanbul, Ottawa, Amman",Istanbul
"(<a href=""http://www.j-archive.com/media/2006-02-06_DJ_23.jpg"" target=""_blank"">Jimmy of the Clue Crew puts some lines on the ice in the Olympic Oval rink at Park City, UT.</a>)  In 1998, <a href=""http://www.j-archive.com/media/2006-02-06_DJ_23a.jpg"" target=""_blank"">this U.S. skater</a> was 2nd at Nagano; in 2002, she was 3rd here in Utah",Michelle Kwan
"The largest tree, the General Sherman in California, is this type, also called a Sierra Redwood",a sequoia
"""Take thy beak from out my heart, and take thy form from off my door!""",Edgar Allan Poe
SKX is the stock symbol for this manufacturer of sporty shoes,Skechers
"A bowl-shaped depression, as from the impact of a meteorite, it's from the Greek for ""mixing bowl""",crater
"Sofia, Sarajevo, Saigon",Saigon
"Life has its ups & downs for Travis Mayer, a 2002 medalist in the event named for these little hills on the slopes",moguls
"(<a href=""http://www.j-archive.com/media/2006-02-06_DJ_13.jpg"" target=""_blank"">Sarah of the Clue Crew reads from the pole vault at Duke University's track in Durham, NC.</a>)  In bending an elastic solid, stress is the force causing deformation & this is the 6-letter term for <a href=""http://www.j-archive.com/media/2006-02-06_DJ_13a.jpg"" target=""_blank"">the deformation</a>",strain
"""'Do all lawyers defend n-negroes, Atticus?'  'Of course they do, Scout'""",Harper Lee
"This ""Urban"" store is the parent company of Anthropologie",Urban Outfitters
"From the Greek for ""false name"", it's a fictitious name used by an author",a pseudonym
"Bucharest, Bonn, Bern",Bonn
In 2002 Vonetta Flowers & Jill Bakken won gold in the 2-woman version of this high-speed sport,the bobsled
6 elements once known as inert gases are now known by this aristocratic name,noble gases
"""For never man had a more faithful, loving, sincere servant, than Friday was to me""",Daniel Defoe
"This bookstore chain is named for its ""edgy"" founders, brothers Tom & Louis",Borders
"(<a href=""http://www.j-archive.com/media/2006-02-06_DJ_04.jpg"" target=""_blank"">Jon of the Clue Crew paddles his kayak.</a>)  Kayak is an example of this type of reversible word from the Greek for ""running back again""",a palindrome
"Belize City, Guatemala City, Panama City",Belize City
"His ""Bode"" of work includes 2 Alpine skiing silver medals in 2002",Bode Miller
"(<a href=""http://www.j-archive.com/media/2006-02-06_DJ_15.wmv"">A honey-colored retriever named Max tries to lick Cheryl of the Clue Crew as she pets him at NC State University in Raleigh, NC.</a>)  Veterinarians refer to this area of an animal's body as the posterior or this region, from the Latin for ""the tail""",the caudal region
"""'...Why look'st thou so?'--'With my crossbow I shot the albatross'""",Samuel Taylor Coleridge
"The name of this clothing store for teens is French for ""airmail""",Aéropostale
It's an outline of the contents of a course or curriculum,a syllabus
"On December 27, 1831 it departed Plymouth, England to map the coastline of South America",the HMS Beagle
goop.com is a lifestyles website from this Oscar-winning actress; the g & p represent her initials,Gwyneth Paltrow
"On March 19, 2009 he said, ""I'm excited and honored to introduce my first guest... Barack Obama""",Jay Leno
"Baylor, Stephen F. Austin, Rice",Texas
Synonym for dignity that's the term for a group of lions,a pride
"If you're a beginner, you might hippity-hop over to this smaller, gentler slope",a bunny hill
"If your mate from Marseilles says he's getting to LAX via ""Sud-Ouest"", pick him up at this carrier",Southwest
In 2008 David Gregory became moderator of this NBC Sunday morning news show,Meet the Press
"Time magazine said this 2003 Pixar film was ""the ultimate fish-out-of-water story""",Finding Nemo
"Antioch, Bowling Green, Kent State",Ohio
"Like peas, whales & seals are in groups called these",pods
"Something you'd sprinkle on after a shower, it's also the term for soft, dry, freshly fallen snow",powder
"Duck, duck, l'oie; (l'oie of course referring to this other feathered friend)",a goose
Linus Torvalds is the father of this operating system used on cell phones & supercomputers,Linux
"Of his dialogue, this Han Solo actor said, ""You can type this (stuff), George, but you sure can't say it""",Harrison Ford
"DePaul, Wheaton, Northwestern",Illinois
A crash is a group of these large horned mammals,rhinoceroses
"In California, a premier spot for skiing is this resort area that shares its name with a prehistoric elephant",Mammoth
"""Je ne sais pas"" means this, but you still get credit if you phrase it in the form of a question","""I don't know"""
"The district of conservative rep. Patrick McHenry in this state includes Mooresville, a home of NASCAR",North Carolina
"Tim Robbins played a public TV newsman in ""Anchorman: The Legend of"" him",Ron Burgundy
"Wayne State, Kalamazoo College, Madonna University (it's Franciscan Catholic, not Material Girl)",Michigan
"It can be a pack of dogs, or a place to board them",a kennel
In this type of race you have to zigzag between flags or other obstacles in proper order,a slalom
"When mom tells you to do something ""Maintenant!"", she means this",now
Elon Musk is now making rockets & electric cars; before that he co-founded & sold this electronic payment system,PayPal
"We were frakkin' sad when this sci fi show had its series finale on March 20, 2009",Battlestar Galactica
"Grambling, McNeese State, Southern",Louisiana
A flock of these black birds is called a murder,crows
"Bumps or mounds of snow that accumulate on a slope are called these, like some very wealthy & powerful people",moguls
"""Huitieme"" is French for this ordinal number",eighth
Her home Orchard House was the model for whre the March family lived in her most famous novel,Louisa May Alcott
"""X&Y"", ""Parachutes""",Coldplay
This cord that connects a fetus to the placenta contains 2 arteries & 1 vein,the umbillical cord
"Che Guevara probably knew the political-sounding term for the root symbol seen <a href=""http://www.j-archive.com/media/2009-05-08_DJ_26.jpg"" target=""_blank"">here</a>",radical
The World Wide Web gets its first page,the 1990s
"This adjective meaning deceptive or sneaky is from the Latin de via, meaning ""out of the way""",devious
"During the War Of 1812, this ""Rip Van Winkle"" author wrote biographies of Naval commanders",Washington Irving
"""American Idiot"", ""Dookie""",Green Day
"The human body has 3 types of these: skeletal, smooth & cardiac, a combination of skeletal & smooth",muscles
You should answer this one automatically: It's the property that says a = a,reflexive
The first controlled nuclear chain reaction,the 1940s
"This New York island's name may come from the Algonquian word for ""island""",Manhattan
"Susan & Benjamin Cheever, children of this short story master, are both authors as well",John Cheever
"""Master of Puppets"", ""Death Magnetic""",Metallica
The talus fits between the ends of these 2 bones forming the ankle joint,the tibia & fibula
"(<a href=""http://www.j-archive.com/media/2009-05-08_DJ_28.jpg"" target=""_blank"">Kelly of the Clue Crew shows an array of numbers enclosed in brackets on the monitor.</a>)  A set of numbers in rows and columns can be used in many ways--for example, to encrypt a code or create 3-D computer graphics; the set shares this name with a 1999 film",a matrix
"Khruschev's ""Secret Speech"" denounces Stalin",the 1950s
"This compass direction may come from the Proto-Germanic for ""to the left of the rising sun""",north
"He stood 5'3"" & was the subject of movies that came out in 2005 & 2006",(Truman) Capote
"""In Your Honor"", ""The Color and the Shape""",Foo Fighters
"Humans have 33 vertebrae, 7 of them cervical, meaning they are in this part of the body",your neck
The symbol <i>i</i> is used to represent the imaginary square root of this number,-1
"George Orwell, 34 years dead, hits the bestseller list",the 1980s
"From the Latin for ""much writing"", it's another name for a lie detector test",a polygraph
"He reviewed films & TV for the New Republic before his first book, ""Goodbye, Columbus"", was published in 1959",Philip Roth
"""Beggars Banquet"", ""Steel Wheels""",the Rolling Stones
The pons connects the 2 hemispheres of this part of the brain that regulates balance,the cerebellum
"(<a href=""http://www.j-archive.com/media/2009-05-08_DJ_30.jpg"" target=""_blank"">Jimmy of the Clue Crew shows a geometric diagram on the monitor.</a>)  Half the base times the height gives the area of a triangle; for a <a href=""http://www.j-archive.com/media/2009-05-08_DJ_30a.jpg"" target=""_blank"">cylinder</a>, the area of the base times the height gives this measurement",volume
Man first reaches the South Pole,the 1910s
"A type of ear implant to help the deaf, it's from the Greek for ""snail""",cochlear
"He filed for divorce citing Leviticus 20:21, ""If a man shall take his brother's wife, it is an unclean thing""",Henry VIII
Edward Beale brought news of this 1848 discovery in California to the east coast,gold
The amount of this in a solution can be measured by a saccharometer,sugar
Daedalus used this substance to fasten the wings to his back,wax
"This Sunday night series is subtitled ""The New Adventures of Superman""",Lois & Clark
This state's Days of '47 Festival honors the day Brigham Young reached the Salt Lake Valley in 1847,Utah
A complete donut center,whole hole
"Stephen Long & Zebulon Pike have peaks named for them in this state, an area they said was uninhabitable",Colorado
The energy from this is measured by a pyrheliometer,the Sun
Cadmus planted these parts of a dragon to raise some troops,teeth
"""Freddy's Nightmares"", a horror anthology that debuted in 1988, was based on this movie series",Nightmare on Elm Street
"Monroe, near Snohomish in this state, is the site of the annual Evergreen State Fair",Washington
"In a restaurant, it's a quartet's table request",for four
Co-commanders of the 1st U.S. expedition to explore from Mississippi to the west coast,Lewis & Clark
An odometer measures the distance covered by a vehicle & this device measures how far you've walked,a pedometer
"The sister of Orestes, mourning became her",Electra
This crime drama with Robert Wagner & Stefanie Powers was created by Sidney Sheldon,Hart to Hart
"Dog lovers look forward to the Westminster Kennel Club dog show, held each February in this city",New York City
Contented performing kittens might be paid this way,per purr
Jedediah Smith was a mountain man & explorer employed in this industry,fur trading
A spirometer measures the capacity of these organs,the lungs
"Zeus' father, Cronus, was one of this group of 12",Titans
"Character seen <a href=""http://www.j-archive.com/media/1996-12-06_J_04.wmv"">here</a>, his action-packed journeys are legendary:",Hercules (Kevin Sorbo)
"The Pendleton Roundup, an annual rodeo, takes place in Pendleton in this northwestern state",Oregon
A squash that's been pierced by a bull's horn,gored gourd
"Senator Thomas Hart Benton's son-in-law was this ""Pathfinder""",John C. Frémont
A nilometer measures the height of the water in this,the Nile River
"Leda laid 2 eggs:  one with Helen & Pollux in it, the other containing Clytemnestra & him",Castor
"Jack Wagner, formerly of ""General Hospital"", now plays Dr. Peter Burns on this Fox drama",Melrose Place
The Tanglewood Music Festival is a summer highlight in Lenox in this New England state,Massachusetts
Remained sedate,stayed staid
"This Nazi dictator sometimes dined alone with Blondi, his Alsatian",Adolf Hitler
This isthmus connects North & South America,Isthmus of Panama
"He painted ""Irises"" & ""Pink Roses"" as well as ""Sunflowers""",Vincent Van Gogh
"It has over 9,700 tax preparation offices worldwide",H&R Block
Historians refer to the Golden Age as the time during which Pericles ruled this city,Athens
"On Feb. 12, 1959, the 150th anniversary of Lincoln's birth, he addressed a joint session of Congress",Carl Sandburg
"In 1964 he lifted his beagles Him & Her by the ears on the White House lawn, provoking protest",Lyndon Johnson
"A humid city, Rio de Janeiro lies just north of this tropic line",the Tropic of Capricorn
"This drip artist was born in Cody, Wyoming in 1912",Jackson Pollock
"In 1961 this firm introduced its Selectric typewriter, which used a spherical typing element",IBM
"Under the 1814 Treaty of Kiel, this country gave Norway to Sweden but kept Greenland & other islands",Denmark
"Between 1842 & 1885, he repeatedly revised his ""Idylls of the King""",Alfred Lord Tennyson
"Colo was the first of these great apes born in captivity, in 1956 at the Columbus Zoo",Gorilla
"The lowest river in the world, it's revered by Jews, Christians & Muslims alike",The River Jordan
"He spent several summers painting pointillist seascapes including ""Le Bec Du Hoc, Grandcamp""",Georges Seurat
"In 1934 he plugged Bulova ""Lone Eagle"" watches",Charles Lindbergh
In February 1904 this country attacked the Russian fleet at Port Arthur,Japan
"For much of the winter of 1794-95, he served as acting supervisor for Dumfries, Scotland",Robert Burns
"In 1945 this famous scottie was injured in a fight with Blaze, Elliott Roosevelt's mastiff",Fala
"Discovered by David Livingstone, Botswana's Lake Ngami lies in the northern part of this desert",Kalahari Desert
"His sculpture, ""The Age of Bronze"", exhibited in 1877, was inspired by Michelangelo",Auguste Rodin
Only Philip Morris & this Cincinnati-based firm have yearly ad expenditures exceeding $2 billion,Procter & Gamble
"On May 30, 1967 Colonel Ojukwu declared Biafra's independence from this country, starting a civil war",Nigeria
"Her ""I Heard a Fly Buzz"" may have been based on a chapter in ""The House of the Seven Gables""",Emily Dickinson
This favorite horse of Alexander the Great sometimes wore golden horns in battle,Bucephalus
In area this country whose capital is now called Yangon is the largest in mainland southeast Asia,Myanmar (Burma)
"You can see this British sculptor's ""Reclining Mother and Child"" at the Walker Art Center in Minneapolis",Henry Moore
In 1811 this German family began its steel-making business by constructing a plant in Essen,Krupp
"In the midst of the Korean War, this South Korean president was elected to his second of 4 terms",Syngman Rhee
"He once wrote, ""I choose to be a plain New Hampshire farmer""",Robert Frost
"This 1895 novel is subtitled ""An Invention""",The Time Machine
"While making repairs on the Intl. Space Station, Scott Parazynski lost a needle-nose pair of these",pliers
September 2010 brought the 45th edition of this comedian's telethon,Jerry Lewis
"Hit this paper mache container, Spanish for ""jug"", if you want candy and small gifts",pinata
"""In 1997, the House (of Reps.) voted to reprimand him... It marked the first time the House had reprimanded a Speaker""",Gingrich
"We'll give you $200, not $1,000, for this five letter word meaning stately or majestic",grand
"(<a href=""http://www.j-archive.com/media/2010-12-07_J_26.jpg"" target=""_blank"">Jimmy of the Clue Crew reports from the RV/MH Hall of Fame in Elkhart, IN.</a>)  The GMC Motorhome from the '60s & 70s was among the first models to have this innovation that helps with traction by putting the weight over the <a href=""http://www.j-archive.com/media/2010-12-07_J_26a.jpg"" target=""_blank"">wheels</a> that do the work",front-wheel drive
"In its years of operation, this Soviet space station released more than 200 objects (mostly trash) into space",Mir
"Originally a half hour, this soap started in 1963 & featured Nurse Jessie Brewer",General Hospital
This word seen on doors is what a right-handed batter does when he hits the ball to left field,pull
"""See Simon, Paul""",(Art) Garfunkel
"Proverbially, you can ""break"" this food, or ""take (it) out of someone's mouth""; earn some dough",bread
"(<a href=""http://www.j-archive.com/media/2010-12-07_J_27.jpg"" target=""_blank"">Jimmy of the Clue Crew reports from the RV/MH Hall of Fame in Elkhart, IN.</a>)  I'm behind the wheel of the <a href=""http://www.j-archive.com/media/2010-12-07_J_27a.jpg"" target=""_blank"">very first motor home</a>, from the company whose name has become a synonym for ""motor home""; since 1967, they've sold over 400,000 of them",Winnebago
"Ed White, the first U.S. spacewalker, lost one of these outside Gemini 4; he must've looked like a later ""moonwalker""",a glove
In 1948 Douglas Edwards became the first anchor of this network's Evening News,CBS
Aaron Fechter invented this carnival game where you hit a mammal with a mallet,Whack-A-Mole
"""American poet... became known as a leader of the Beat literary movement of the 1950s""",(Allen) Ginsberg
The shell of this mollusk is composed chiefly of calcium carbonate,a clam
"(<a href=""http://www.j-archive.com/media/2010-12-07_J_28.jpg"" target=""_blank"">Kelly of the Clue Crew reports from the RV/MH Hall of Fame in Elkhart, IN.</a>)  One of the first times a movie star received a <a href=""http://www.j-archive.com/media/2010-12-07_J_28a.jpg"" target=""_blank"">fancy trailer</a> as a perk was in 1931; Paramount gave a <a href=""http://www.j-archive.com/media/2010-12-07_J_28b.jpg"" target=""_blank"">Chevy house car</a> to <a href=""http://www.j-archive.com/media/2010-12-07_J_28c.jpg"" target=""_blank""> this</a> sexy star as she left the stage to make movies like ""She Done Him Wrong""",Mae West
Piers Sellers lost a tool in space while spreading putty into this Space Shuttle named for Capt. Cook's ship,Discovery
"Shown Saturday afternoons on ABC, this sport's tour outdrew college football & moved to ESPN in 1997",the pro bowling tour
Everlast makes these that come in speed and heavy varieties,punching bags
"""Served under the Apache leaders Cochise and Mangas Coloradas... in 1894, he was moved to Fort Sill",Geronimo
You don't get 5 guesses at this winglike appendage to the underwater portion of a hull,a fin
"In 1992 Space Shuttle astronauts delivered ashes of this ""Star Trek"" creator into the final frontier",Gene Roddenberry
"2010's ""When Love Is Not Enough"" was the 240th presentation in this series from a greeting card company",Hallmark Hall of Fame
"In some casinos, a blackjack dealer must hit with an ace & a 6, known as this type of 17",soft
"""One of the most original and provocative American architects working today""",(Frank) Gehry
"When speaking of Messrs. Netanyahu or Britten, it's all about the first name, pluralized",the Benjamins
Blanche DuBois,A Streetcar Named Desire
"Giving the devil his due, Fr. Karras invites the devil inside himself, then exits from the second floor in this 1973 movie",The Exorcist
3.6 million: Down Under,Melbourne
"In 2010 this Illinois governor was tried on corruption charges, but convicted on only 1 count",Blagojevich
"As Franklin D. Roosevelt's blood pressure was 300/190, he suffered from this 1-word condition",hypertension
"If you're vertical but supported by your palms, you're doing one of these",a handstand
Emily Webb of Grover's Corners,Our Town
"In this Bruce Willis movie, the villain goes out the window of the Nakatomi building, gun in hand",Die Hard
11 million: on Luzon Island,Manila
In 2006 this Illinois governor was busted for racketeering; what's in the water there?,George Ryan
In 1905 German scientist Alfred Einhorn created this first injectable local anesthetic used in dentistry,novocaine
A caterpillar that moves by contraction & expansion,an inchworm
"Movie in which Axel Foley asks, ""where ...you get off arresting me for being thrown out a window?""",Beverly Hills Cop
1.1 million: in the heart of the Po River Valley,Milan
"In 2010 it was revealed that Robert Rizzo made $800,000 a year as the city this of Bell, Calif., population 37,000",manager
"Micro-Trach is an oxygen delivery system developed by this physician known for his ""maneuver""",(Henry) Heimlich
"A loop found on footwear, it's a symbol of success through one's own efforts",a bootstrap
18 million: on the Arabian Sea,Mumbai
In 2010 a House committee charged this veteran Harlem congressman with ethics violations,(Charlie) Rangel
"(<a href=""http://www.j-archive.com/media/2010-12-07_DJ_09.jpg"" target=""_blank"">Dr. Oz presents the clue.</a>) By surgically interrupting the electrical impulses that are causing an abnormal rhythm, the maze procedure is designed to threat this type of heart arrhythmia abbreviated ""A.F.""",atrial fibrillation
Hard coal that burns with little flame,anthracite
Barbara Undershaft,Major Barbara
"In this Coen Brothers movie, Charles Durning jumps out a window during a board meeting",The Hudsucker Proxy
3.2 million: 150 miles from Bogota,Medellin
"Elected to the Senate in 1930, he refused to resign as Louisiana's gov. until '32, when his handpicked crony got the gig",Huey Long
"The name of this branch of pediatrics that deals with newborn infants literally means ""newborn study""",neonatal
This important mechanism is what you're turning when you wind a clock,the mainspring
"In use from 1844 to 1905, a flag representing the union of these 2 countries was nicknamed the ""herring salad""",Norway and Sweden
"While he was in Spain in 1959, he wrote ""The Dangerous Summer"", a story about rival bullfighters",Hemingway
"Like a door, a Broadway show does these 2 things",open & close
A valley at 282 feet below sea level in this state is the lowest point in the Western Hemisphere,California
"Like banks, many grocery stores now have these for dispensing cash & taking deposits",ATMs
"He was the voice of Mickey Mouse in ""Steamboat Willie""",Walt Disney
Eastern European capital city of more than 2.2 million,Bucharest
"In 1884 she moved to Red Cloud, Nebraska & later fictionalized it as the town of Hanover in ""O Pioneers!""",Willa Cather
In 2006 it began on July 1 in Strasbourg & ended on July 23 in Paris,the Tour de France
"With 6,640 miles of coast, this state has the longest shoreline",Alaska
"(<a href=""http://www.j-archive.com/media/2007-05-30_J_09.jpg"" target=""_blank"">Cheryl of the Clue Crew reports from the Catalina Island Conservancy.</a>) Rampant use of this 3-letter insecticide lead to a hefty settlement for restorating the population of Catalina's <a href=""http://www.j-archive.com/media/2007-05-30_J_09a.jpg"" target=""_blank"">bald eagles</a>",DDT
"(<a href=""http://www.j-archive.com/media/2007-05-30_J_27.jpg"" target=""_blank"">Hi, I'm Harry Shearer.</a>) Among my many ""Simpsons"" voices are the subservient Smithers & this man who lives next door to Homer--Howdy, neighbor",Ned Flanders
Any mountain's summit,crest
"(<a href=""http://www.j-archive.com/media/2007-05-30_J_16.jpg"" target=""_blank"">Alex reports from the Mark Twain House.</a>) Mark Twain said that this anti-slavery <a href=""http://www.j-archive.com/media/2007-05-30_J_16a.jpg"" target=""_blank"">novelist</a>, his next-door neighbor, liked to sneak up behind people and ""fetch a war-whoop that would jump that person out of his clothes""",(Harriet Beecher) Stowe
"""From"" this to this is an idiom meaning from the start of a meal (or something else) to the end",from soup to nuts
"It pumps more than one million barrels of oil a day, more than any other state",Texas
"""Day to Day"" & ""All Things Considered"" are among the programs going out to its 26 million listeners",NPR
The voice of Daffy Duck (for the first 50 years),Mel Blanc
A braced framework for carrying a railroad over a chasm,a trestle
"Under the name Laura Bancroft, he wrote about Twinkle & Chubbins in Nature Fairyland after taking us to Oz",L. Frank Baum
"These titles of the <a href=""http://www.j-archive.com/media/2007-05-30_J_17.jpg"" target=""_blank"">2 paintings</a> <a href=""http://www.j-archive.com/media/2007-05-30_J_17a.jpg"" target=""_blank"">seen here</a> represent the beginning & end of Jesus' life","""The Nativity"" & ""The Crucifixion"""
"Considered the healthiest state in 2006, it's also home to the Mayo Clinic",Minnesota
"Its headquarters compound in Langley, Virginia is named for Former President George Bush",the CIA
"He voiced Puss In Boots in ""Shrek 2""",Antonio Banderas
Quickly! (to an Italian),Presto